date,time,country,opposing_country,spi,opposing_spi,spi_offense,opposing_spi_offense,spi_defense,opposing_spi_defense,win
12 Jun,09:45,Brazil,Croatia,91.83,75.72,3.3717,1.7517,0.5197,0.9161,1
13 Jun,09:30,Mexico,Cameroon,76.93,71.33,1.5518,1.4802,0.6892,0.9908,1
13 Jun,18:00,Spain,Netherlands,89.13,82.5,2.6874,2.3138,0.4467,0.8173,-1
13 Jun,21:00,Chile,Australia,86.71,69.47,2.7085,1.638,0.7041,1.232,1
14 Jun,09:30,Colombia,Greece,85.81,76.83,2.1793,1.3401,0.4513,0.5379,1
14 Jun,21:00,Ivory Coast,Japan,78.84,73.61,2.2473,2.1362,1.0498,1.3426,1
14 Jun,18:00,Uruguay,Costa Rica,83.23,74.13,2.2318,1.3273,0.7017,0.6977,-1
15 Jun,00:00,England,Italy,83.16,79.39,2.2045,1.9753,0.6895,0.8202,-1
15 Jun,09:30,Switzerland,Ecuador,78.03,80.8,1.9791,2.0274,0.9216,0.7549,1
15 Jun,18:00,France,Honduras,86.13,70.01,2.4866,1.5756,0.6193,1.1482,1
15 Jun,21:00,Argentina,Bosnia and Herzegovina,90,80.23,2.8521,2.3098,0.4498,0.9905,1
16 Jun,01:00,Germany,Portugal,88.87,80.92,3.1985,2.1411,0.7763,0.8218,1
16 Jun,21:00,Ghana,USA,77.37,77.53,1.9046,2.0458,0.9141,1.0036,-1
17 Jun,09:30,Belgium,Algeria,82.09,63.35,2.1425,1.1178,0.7344,1.1668,1
18 Jun,18:00,Cameroon,Croatia,70.21,76.23,1.3672,1.8127,0.9711,0.9277,-1
18 Jun,21:00,Spain,Chile,86.76,86.81,2.6117,2.7213,0.6396,0.703,-1
18 Jun,10:00,Australia,Netherlands,68.89,86.87,1.6481,2.8048,1.2794,0.7484,-1
19 Jun,09:30,Colombia,Ivory Coast,87.7,79.13,2.3934,2.2127,0.4145,1.0084,1
19 Jun,18:00,Uruguay,England,80.9,82.23,2.1952,2.1691,0.8632,0.7432,1
20 Jun,09:45,Italy,Costa Rica,80.06,77.52,2.0297,1.5984,0.813,0.6861,-1
20 Jun,18:00,Switzerland,France,79.55,86.89,2.0841,2.5361,0.8886,0.5808,-1
20 Jun,21:00,Honduras,Ecuador,68.14,79.93,1.506,1.9872,1.2117,0.7934,-1
21 Jun,09:30,Argentina,Iran,89.92,70.81,2.8288,1.1916,0.4448,0.7949,1
21 Jun,21:00,Nigeria,Bosnia and Herzegovina,74.86,80.59,1.5469,2.3324,0.8212,0.9795,1
22 Jun,21:00,Belgium,Russia,81.79,78.29,2.1428,1.6109,0.759,0.6422,1
22 Jun,09:30,South Korea,Algeria,72.56,64.24,1.6908,1.1759,1.0781,1.1673,-1
23 Jun,18:00,Cameroon,Brazil,69.34,91.1,1.4876,3.1656,1.1228,0.5023,-1
23 Jun,18:00,Croatia,Mexico,79.81,78.39,2.0425,1.4714,0.8417,0.5366,-1
23 Jun,09:45,Australia,Spain,70.26,85.74,1.7863,2.4815,1.3032,0.6539,-1
23 Jun,09:45,Netherlands,Chile,86.2,87.76,2.7928,2.7339,0.8062,0.6197,1
24 Jun,18:00,Japan,Colombia,73.42,87.38,1.9724,2.4055,1.2429,0.4584,-1
24 Jun,18:00,Greece,Ivory Coast,72.83,79.78,1.1075,2.2765,0.6136,1.0104,1
24 Jun,01:00,Italy,Uruguay,79.29,81.49,1.9384,2.2369,0.8114,0.8522,-1
25 Jun,18:00,Honduras,Switzerland,68.45,78.11,1.5159,2.1503,1.2065,1.0465,-1
25 Jun,09:30,Nigeria,Argentina,76.16,89.65,1.5231,2.7396,0.7259,0.4256,-1
25 Jun,09:30,Bosnia and Herzegovina,Iran,79.4,70.91,2.19,1.1286,0.9789,0.744,1
26 Jun,10:00,USA,Germany,78.89,88.61,2.1631,3.1728,0.9962,0.793,-1
26 Jun,10:00,Portugal,Ghana,79.15,79.01,2.1091,1.9888,0.9392,0.8654,1
26 Jun,18:00,South Korea,Belgium,64.88,83.12,1.6581,2.1376,1.5493,0.6547,-1
28 Jun,19:00,Colombia,Uruguay,88.92,81.67,2.6119,2.1888,0.4272,0.8063,1
29 Jun,09:30,Netherlands,Mexico,87.38,80.03,2.8059,1.621,0.7025,0.5351,1
30 Jun,10:00,France,Nigeria,87.62,77.11,2.6447,1.696,0.5786,0.7895,1
30 Jun,18:00,Germany,Algeria,88.65,74.95,3.0589,2.0782,0.7214,1.2187,1
01 Jul,09:30,Argentina,Switzerland,89.87,79.95,2.9237,2.2816,0.5033,0.9986,1
01 Jul,18:45,Belgium,USA,83.11,78.54,2.0638,2.0321,0.6053,0.9295,1
04 Jul,18:00,Brazil,Colombia,90.61,89.43,3.0775,2.6374,0.5044,0.3827,1
03 Jul,09:45,France,Germany,88.15,88.28,2.6779,2.9654,0.5428,0.7021,-1
05 Jul,09:30,Argentina,Belgium,89.55,83.39,2.7778,2.0625,0.4523,0.5815,1
08 Jul,09:30,Brazil,Germany,90.82,88.66,3.1193,2.9217,0.4996,0.6331,-1
11 Jul,10:30,Brazil,Netherlands,88.59,87.37,3.0132,2.5912,0.6973,0.5667,-1
13 Jul,12:00,Germany,Argentina,91.16,89.22,3.3478,2.5586,0.5893,0.3566,1
13 Jun,15:00,Russia,Saudi Arabia,70.14205,51.3338,1.94268,1.47177,0.80439,1.20177,1
13 Jun,15:00,Egypt,Uruguay,62.46236,79.52363,1.60808,2.2853,0.85654,0.62285,-1
13 Jun,15:00,Morocco,Iran,72.33079,65.56769,1.86875,1.60243,0.65756,0.72717,-1
13 Jun,15:00,France,Australia,87.17682,61.68548,2.88582,1.7923,0.56975,1.04721,1
13 Jun,15:00,Peru,Denmark,72.15616,74.74844,1.97974,2.13883,0.74528,0.74455,-1
13 Jun,15:00,Croatia,Nigeria,80.38099,70.08336,2.28947,1.81501,0.58512,0.71082,1
13 Jun,15:00,Costa Rica,Serbia,64.89752,73.8232,1.73368,2.08408,0.86128,0.74737,-1
13 Jun,15:00,Germany,Mexico,90.61094,75.77906,3.23346,2.16425,0.52224,0.71564,-1
